idPlayer,idTeam,yearDraft,heightWOShoesInches,weightLBS,wingspanInches,reachStandingInches,verticalLeapStandingInches,verticalLeapMaxInches,repsBenchPress135,timeLaneAgility,timeThreeQuarterCourtSprint,timeModifiedLaneAgility,lengthHandInches,widthHandInches,pctBodyFat
1629001.0,1610612745.0,2018.0,74.25,193.2,80.5,99.5,31.0,36.5,1.0,11.48,3.23,3.3299999999999996,8.5,9.5,5.2
1629004.0,1610612747.0,2018.0,78.5,219.6,77.0,100.0,27.0,33.0,8.0,12.4,3.53,3.25,8.0,9.25,11.4
1629004.0,1610612747.0,2018.0,78.5,211.6,76.75,100.0,30.5,37.0,4.0,11.25,3.15,3.18,8.25,9.5,8.450000000000001
1628966.0,1610612750.0,2018.0,79.25,223.8,87.25,106.5,30.5,35.0,11.0,11.2,3.17,3.2800000000000002,9.0,8.5,5.35
1629002.0,1610612749.0,2018.0,80.5,219.6,84.5,108.0,29.5,36.0,5.0,11.89,3.3299999999999996,3.25,9.0,9.25,5.05
1628993.0,1610612754.0,2018.0,79.25,216.6,80.75,103.0,25.0,31.0,8.0,11.83,3.38,3.2800000000000002,8.5,9.75,8.1
1628974.0,1610612740.0,2018.0,75.0,198.8,80.25,100.0,25.0,31.5,0.0,11.89,3.17,3.4,8.5,9.75,6.5
1629053.0,1610612762.0,2018.0,,,,,,,,,,,,,
1628985.0,1610612760.0,2018.0,76.25,206.4,79.75,102.0,25.0,31.0,6.0,10.950000000000001,3.27,3.16,8.5,10.0,8.450000000000001
1629003.0,1610612742.0,2018.0,76.5,207.2,84.75,99.5,30.0,33.0,2.0,11.07,3.25,3.19,8.75,9.5,6.8
1629083.0,1610612766.0,2018.0,,,,,,,,,,,,,
1629034.0,1610612755.0,2018.0,81.0,215.4,88.75,109.0,26.0,32.0,12.0,11.48,3.34,3.2,9.25,9.0,5.55
1628987.0,1610612760.0,2018.0,78.5,211.6,87.5,107.0,27.5,32.0,4.0,11.28,3.36,3.15,9.25,10.25,5.1499999999999995
1629118.0,1610612743.0,2018.0,83.5,254.0,84.0,109.5,,,11.0,,,,9.0,10.5,10.9
1628994.0,1610612756.0,2018.0,76.75,218.6,83.5,101.5,31.0,39.0,15.0,10.75,3.29,3.08,9.0,10.25,7.25
1628961.0,1610612755.0,2018.0,81.0,194.8,86.25,110.0,29.5,35.0,0.0,12.48,3.21,3.48,9.25,9.5,5.0
1628365.0,1610612755.0,2017.0,,,,,,,,,,,,,
1628366.0,1610612747.0,2017.0,,,,,,,,,,,,,
1628369.0,1610612738.0,2017.0,,,,,,,,,,,,,
1628367.0,1610612756.0,2017.0,,,,,,,,,,,,,
1628368.0,1610612758.0,2017.0,74.0,169.6,78.5,100.0,,,,,,,8.5,8.5,4.5
1628371.0,1610612753.0,2017.0,,,,,,,,,,,,,
1628374.0,1610612750.0,2017.0,,,,,,,,,,,,,
1628373.0,1610612752.0,2017.0,,,,,,,,,,,,,
1628372.0,1610612742.0,2017.0,,,,,,,,,,,,,
1628380.0,1610612758.0,2017.0,82.25,232.2,85.0,111.0,,,,,,,8.75,9.25,8.9
1628370.0,1610612766.0,2017.0,,,,,,,,,,,,,
1628379.0,1610612765.0,2017.0,76.5,196.2,77.25,98.5,,,,,,,8.0,8.75,6.6
1628378.0,1610612743.0,2017.0,73.25,211.4,82.0,97.0,36.5,40.5,10.0,11.53,3.01,3.07,8.5,9.5,5.9
1628389.0,1610612748.0,2017.0,80.75,242.6,86.75,108.0,33.5,38.5,12.0,11.94,3.24,3.24,9.5,8.75,5.2
1628382.0,1610612757.0,2017.0,79.0,200.8,83.0,104.5,29.5,35.5,,10.8,3.3,3.06,8.75,9.25,8.1
1628383.0,1610612741.0,2017.0,82.0,229.0,87.0,111.5,26.0,30.5,,11.8,3.46,3.3099999999999996,8.75,9.75,7.8
1628391.0,1610612749.0,2017.0,80.75,234.4,87.0,109.5,,,,,,,9.25,10.25,6.4
1628388.0,1610612754.0,2017.0,80.75,222.2,83.0,107.0,29.0,34.5,6.0,11.55,3.27,3.27,8.5,9.5,6.8
1628381.0,1610612737.0,2017.0,80.25,225.2,83.25,106.5,33.0,37.5,15.0,11.66,3.27,3.27,9.0,10.0,5.4
1628385.0,1610612757.0,2017.0,81.25,232.0,87.25,109.5,27.0,32.5,5.0,11.08,3.34,3.0,9.5,10.75,5.2
1628390.0,1610612760.0,2017.0,77.5,184.4,80.75,103.0,28.5,38.0,,11.16,3.32,3.22,8.5,10.0,5.8
1628386.0,1610612751.0,2017.0,81.0,233.6,89.25,109.5,31.5,35.5,4.0,11.82,3.21,3.0,9.5,10.5,7.4
1628384.0,1610612761.0,2017.0,78.25,232.4,86.25,107.5,,,,,,,9.25,9.5,6.8
1628399.0,1610612762.0,2017.0,80.25,215.0,84.0,107.5,29.5,33.5,1.0,11.68,3.46,2.8099999999999996,8.75,8.75,13.6
1628394.0,1610612753.0,2017.0,,,,,,,,,,,,,
1628403.0,1610612757.0,2017.0,79.5,246.6,87.5,107.0,26.0,29.0,,12.8,,,9.0,10.25,12.55
1628403.0,1610612757.0,2017.0,79.5,245.6,87.0,108.0,,,,,,,9.5,10.25,
1628398.0,1610612751.0,2017.0,80.0,222.6,84.25,107.5,27.0,34.0,12.0,10.719999999999999,3.25,2.98,8.5,9.5,9.4
1628396.0,1610612747.0,2017.0,81.25,248.8,89.0,112.5,24.5,27.5,5.0,11.79,3.44,2.9899999999999998,9.5,9.5,12.0
1628401.0,1610612759.0,2017.0,75.25,189.8,79.5,101.5,31.0,36.5,10.0,10.84,3.08,2.92,8.25,8.5,6.2
1628404.0,1610612762.0,2017.0,76.0,203.6,80.5,99.5,29.5,38.5,,11.15,3.2,3.15,8.5,9.25,5.75
1628404.0,1610612762.0,2017.0,75.75,209.2,80.25,101.0,27.5,35.5,9.0,11.15,3.18,3.02,8.5,9.5,5.8
1628402.0,1610612766.0,2017.0,74.0,201.6,79.5,98.0,34.5,42.0,9.0,10.94,3.14,2.7,8.25,9.0,6.7
1628432.0,1610612756.0,2017.0,76.5,206.2,84.0,102.0,28.5,36.0,12.0,11.370000000000001,3.34,3.21,9.25,9.5,6.5
1628411.0,1610612753.0,2017.0,77.5,193.4,85.0,105.5,31.5,36.0,5.0,11.25,3.36,3.23,8.75,9.5,4.0
1628412.0,1610612758.0,2017.0,71.0,188.8,75.25,94.0,34.0,41.0,15.0,11.41,3.18,3.09,8.0,9.25,4.3
1628397.0,1610612753.0,2017.0,80.75,219.6,85.5,109.0,28.5,32.5,3.0,12.68,3.3499999999999996,3.23,8.75,9.0,6.8
1628413.0,1610612755.0,2017.0,,,,,,,,,,,,,
1628400.0,1610612738.0,2017.0,77.25,241.4,81.75,102.0,35.0,40.5,19.0,10.58,3.16,3.07,8.75,9.5,5.5
1628395.0,1610612741.0,2017.0,79.0,223.6,83.75,104.5,31.5,38.0,16.0,10.629999999999999,3.21,2.8299999999999996,9.25,9.5,5.4
